Generation,Best,Average
0,0.17670631621501695,0.103520674917633
1,0.17670631621501695,0.10809072797721378
2,0.23198624537722873,0.1263059465255399
3,0.23198624537722873,0.14459780006238132
4,0.23198624537722873,0.14387006881180184
5,0.23198624537722873,0.15713826289583466
6,0.23198624537722873,0.1813609015199156
7,0.23198624537722873,0.1837330458796775
8,0.23198624537722873,0.19165683036546763
9,0.23198624537722873,0.18893452977426053
10,0.2343566202234617,0.19825251570344232
11,0.2343566202234617,0.20519765394257408
12,0.2343566202234617,0.2089101421448688
13,0.2343566202234617,0.21421424323931737
14,0.2343566202234617,0.21669571372643284
15,0.2343566202234617,0.21698382511637168
16,0.2626272161812106,0.22593268203694766
17,0.2626272161812106,0.21904753131627078
18,0.2626272161812106,0.21400870229020236
19,0.2626272161812106,0.2207405814091219
20,0.2626272161812106,0.21585352654443907
21,0.2626272161812106,0.22205233272654692
22,0.2626272161812106,0.2374805826701261
23,0.2626272161812106,0.2501226285906849
24,0.2626272161812106,0.2528356981852343
25,0.2626272161812106,0.23859225948381826
26,0.2626272161812106,0.24840750335349682
27,0.2626272161812106,0.2492653241211137
28,0.2626272161812106,0.241368875278288
29,0.2626272161812106,0.24391746089625027
30,0.2626272161812106,0.25194599180569127
31,0.2626272161812106,0.2381176274526512
32,0.2626272161812106,0.2244346233899708
33,0.2626272161812106,0.23874592865381256
34,0.2626272161812106,0.2387484605439229
35,0.2626272161812106,0.23646427161820627
36,0.2626272161812106,0.2329691668441604
37,0.2626272161812106,0.25084853932531276
38,0.2626272161812106,0.24693378124155071
39,0.2626272161812106,0.24643962497173055
